producer;location;contact_info;link;address;latitude;longitude
Auction Crossing;Breedekloof;083 4555 194;http://www.auctioncrossing.co.za;15, N1 Highway, Somerset West, 7130, South Africa;52,0390484;5,4964645
Audacia;Stellenbosch;021 881 3052;http://www.audacia.co.za;22, De Villiers Street, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Avante Cape Brandy;Worcester;;http://www.avantebrandy.com;4, Berg River Boulevard, Franschhoek, 7690, South Africa;42,2625621;-71,8018877
Avondale Farm;Paarl;021 863 1976;http://www.avondalewine.co.za;25, Main Street, Somerset West, 7130, South Africa;-33,7310282;18,9642117
Avontuur Estate;Helderberg;021 855 3450;http://www.avontuurestate.co.za;33, Kommissie Street, Robertson, 6705, South Africa;42,6511341;-73,7936672
Axe Hill Winery;Klein Karoo;083 676 3000;http://www.axehill.co.za;25, Janie Street, Breedekloof, South Africa;-33,5807432;22,1976413
AYAMA Wines;Paarl;021 869 8313;http://www.ayama.co.za;24, Botha Street, Plettenberg Bay, 6600, South Africa;-33,7310282;18,9642117
Babylons Peak Private Cellar;Swartland;021 300 1052;http://www.babylonspeak.co.za;4, Merriman Road, Helderberg, South Africa;59,07070115;-3,267107947
Babylonstoren;Franschhoek;021 863 3852;http://www.babylonstoren.com;8, Adam Tas Road, Stellenbosch, 7600, South Africa;-33,909167;19,119444
Bacco Estate Winery;Paarl;;http://www.baccoestate.co.za;15, Main Street, Overberg, South Africa;-33,7310282;18,9642117
Backsberg Family Wines;Franschhoek;021 876 2086;http://www.backsberg.co.za;5, Meerlust Road, Stellenbosch, 7600, South Africa;-33,909167;19,119444
Badsberg Wine Cellar;Breedekloof;023 344 3021;http://www.badsberg.co.za;1, Voortrekker Road, Stellenbosch, 7600, South Africa;52,0390484;5,4964645
Baleia Wines and Olive Oil;Garden Route;028 713 1214;http://www.baleiawines.com;10, Soetdoring Street, Plettenberg Bay, 6600, South Africa;-33,937034;23,84231689
Barista;Wellington;021 883 8043;http://www.baristawine.co.za;3, Camphor Tree Road, Cape Town, 8001;-41,2887953;174,7772114
Barnardt Boyes Wines;Stellenbosch;081 471 4715;http://www.barnardtboyes.com;35, Main Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Bartho Eksteen Family Wines;Overberg;072 323 5060;http://www.barthoeksteen.co.za;4, De Waal Street, Overberg, South Africa;52,0390484;5,4964645
Bartinney Private Cellar;Stellenbosch;021 885 1013;http://www.bartinney.co.za;8, Hoofweg, Franschhoek, 7690, South Africa;-33,934444;18,869167
Barton Vineyards;Overberg;028 284 9283;http://www.bartonvineyards.co.za;22, Main Street, Stellenbosch, 7600, South Africa;52,0390484;5,4964645
Bayede!;Paarl;021 863 3406;http://www.bayede.co.za;15, Swartland Road, Swartland, South Africa;-33,7310282;18,9642117
BC Wines;Worcester;023 340 4215;http://www.brandvlei.co.za;1, Kromme Rhee Road, Stellenbosch, 7600, South Africa;42,2625621;-71,8018877
Beau Belle Wines - CLOSED;Stellenbosch;021 881 3808;http://www.beaubelle.co.za;15, Lutzville Street, Swartland, South Africa;-33,934444;18,869167
Beau Constantia;Cape Town;021 794 8632;http://www.beauconstantia.com;35, Hartenbos Road, Paarl, 7646, South Africa;-33,9288301;18,4172197
Beaumont Wines;Overberg;028 212 2007;http://www.beaumont.co.za;7, Voortrekker Road, Stellenbosch, 7600, South Africa;52,0390484;5,4964645
Beeslaar;Stellenbosch;084 255 8686;http://www.beeslaar.co.za;17, De Hoop Street, Overberg, South Africa;-33,934444;18,869167
Bein Wine Cellar;Stellenbosch;021 881 3025;http://www.beinwine.com;13, Adams Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Belfield Wines;Elgin;021 848 9840;http://www.belfield.co.za;20, Elgin Valley, Elgin, 7180, South Africa;42,03726;-88,2810994
Bellevue Estate;Stellenbosch;021 865 2055;http://www.bellevue.co.za;16, Main Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Bellingham Wines;Franschhoek;021 870 4200;http://www.bellinghamwines.com;19, R45 Road, Franschhoek, 7690, South Africa;-33,909167;19,119444
Bemind Wyne;Robertson;083 380 1648;http://www.bemindwyne.co.za;12, Long Street, Robertson, 6705, South Africa;31,0339058;-96,5079742
Ben Wren Wines;Breedekloof;076 244 0833;http://www.benwrenwine.com;25, Roodezand Road, Breedekloof, South Africa;52,0390484;5,4964645
Benguela Cove Lagoon Wine Estate;Overberg;021 9941220;http://www.benguelacove.co.za;1, Lagoon Road, Overberg, South Africa;52,0390484;5,4964645
Bergkelder Vinoteque;Stellenbosch;021 809 8280/1;http://www.vinoteque.co.za;16, Bergkelder Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Bergsig Estate;Worcester;023 100 4856;http://www.bergsig.co.za;10, Voortrekker Road, Worcester, 6849, South Africa;42,2625621;-71,8018877
Bergwater Vineyards;Klein Karoo;023 541 1703;http://www.bergwater.com;5, Bergwater Road, Klein Karoo, South Africa;-33,5807432;22,1976413
Bertha Wines;Stellenbosch;021 887 6588;http://www.berthawines.co.za;15, Bergvliet Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Bester Family Wines;Worcester;082 805 5586;http://www.besterwines.com;9, Houwhoek Road, Worcester, 6849, South Africa;42,2625621;-71,8018877
Beyerskloof;Stellenbosch;021 865 2135;http://www.beyerskloof.co.za;35, Koelenhof Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Bilton Wines;Stellenbosch;021 881 3714;http://www.biltonwines.com;12, Plettenberg Bay Road, Plettenberg Bay, 6600, South Africa;-33,934444;18,869167
Birth Mark of Africa Wines;Worcester;078 494 9464;http://www.birthmarkofafricawines.com;15, Helderberg Road, Somerset West, 7130, South Africa;42,2625621;-71,8018877
Bitou Vineyards;Plettenberg Bay;044 004 0369;http://www.bitouvineyards.co.za;15, Blaauwklippen Road, Stellenbosch, 7600, South Africa;-34,052778;23,369444
Bizoe;Helderberg;083 709 3957;http://www.bizoe.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;42,6511341;-73,7936672
Blaauwklippen Vineyards;Stellenbosch;021 880 0133;http://www.blaauwklippen.com;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,934444;18,869167
Black Elephant Vintners;Franschhoek;021 876 2903;http://www.bevintners.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,909167;19,119444
Black Oystercatcher;Overberg;028 482 1618;http://www.blackoystercatcher.co.za;21, De Hoop Nature Reserve, Overberg, South Africa;52,0390484;5,4964645
Black Pearl Wines;Paarl;083 297 9796;http://www.blackpearlwines.com;5, Adderley Street, Paarl, 7620, South Africa;-33,7310282;18,9642117
Blackwater Wine;Stellenbosch;082 329 8849;http://www.blackwaterwine.com;13, Bamboesvlei Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Blake Family Wines;Swartland;022 451 2701;http://www.blakefamilywines.com;25, Main Road, Swartland, 7300, South Africa;59,07070115;-3,267107947
Bloemendal Wine Estate;Durbanville;021 976 2682;http://bloemendalestate.co.za;13, Ceres Road, Durbanville, 7550, South Africa;-33,8402778;18,6494444
Blomendahl Vineyards;Elgin;076 725 3442;http://www.blomendahl.com;4, Elgin Valley, Elgin, 7180, South Africa;42,03726;-88,2810994
Blue Crane Vineyards;Tulbagh;023 230 0823;http://www.bluecrane.co.za;10, Tulbagh Road, Tulbagh, 6830, South Africa;-33,285059;19,140667
Boekenhoutskloof Winery;Franschhoek;021 876 3320;http://www.boekenhoutskloof.co.za;24, Main Road, Franschhoek, 7690, South Africa;-33,909167;19,119444
Boer and Brit Wines;Paarl;021 807 3331;http://;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,7310282;18,9642117
Boland Cellar;Paarl;021 862 6190;http://www.bolandcellar.co.za;14, Main Street, Paarl, 7620, South Africa;-33,7310282;18,9642117
Bon Courage Estate;Robertson;023 626 4178;http://www.boncourage.co.za;25, Main Street, Robertson, 6705, South Africa;31,0339058;-96,5079742
Bonnievale Wines;Robertson;023 616 2795;http://www.bonnievalewines.co.za;12, Robertson Road, Robertson, 6705, South Africa;31,0339058;-96,5079742
Boplaas Family Vineyards;Klein Karoo;044 213 3326;http://www.boplaas.co.za;12, Boplaas Road, Klein Karoo, South Africa;-33,5807432;22,1976413
Boschendal Estate;Franschhoek;021 001 3150;http://www.boschendalwines.com;15, Boschendal Road, Franschhoek, 7690, South Africa;-33,909167;19,119444
Boschkloof Wines;Stellenbosch;021 881 3268;http://www.boschkloofwines.com;15, Boschkloof Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Boschrivier Wines;Worcester;082 420 4267;http://www.boschrivier.co.za;14, Boschrivier Road, Worcester, 6849, South Africa;42,2625621;-71,8018877
Bosjes;Breedekloof;023 004 0496;http://www.bosjes.co.za;15, Breedekloof Road, Breedekloof, South Africa;52,0390484;5,4964645
Bosman Family Vineyards;Wellington;021 873 3170;http://www.bosmanwines.com;15, Wellington Road, Wellington, 7654, South Africa;-41,2887953;174,7772114
Botanica Wines;Stellenbosch;021 865 2313;http://www.botanicawines.com;18, Oak Valley Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Botha Kelder;Breedekloof;023 355 1740;http://www.bothakelder.co.za;15, Botha Kelder Road, Breedekloof, South Africa;52,0390484;5,4964645
Bouchard Finlayson Vineyard;Overberg;028 312 3515;http://www.bouchardfinlayson.co.za;20, Bouchard Finlayson Road, Overberg, South Africa;52,0390484;5,4964645
Bovlei Cellar (Wellington Wines);Wellington;021 873 1582;http://www.wellingtonwines.com;12, Bovlei Road, Wellington, 7654, South Africa;-41,2887953;174,7772114
Brampton Wines;Stellenbosch;021 883 9097;http://www.brampton.co.za;15, Brampton Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Bredell Wines;Klein Karoo;082 550 0684;http://www.bredellwines.co.za;12, Klein Karoo Road, Klein Karoo, South Africa;-33,5807432;22,1976413
Brenaissance Wine & Stud Estate;Stellenbosch;083 474 0853;http://www.brenaissance.co.za;15, Brenaissance Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Bromar Wines;Wellington;021 873 0565;http://www.bromarwines.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-41,2887953;174,7772114
Brookdale Estate;Paarl;076 400 0229;http://www.brookdale-estate.com;22, Brookdale Road, Paarl, 7646, South Africa;-33,7310282;18,9642117
Bruce Jack Wines;Breedekloof;021 180 3668;http://brucejack.com/;15, Naauwhoek Road, Paarl, 7646, South Africa;52,0390484;5,4964645
Buitenverwachting;Cape Town;021 794 5190;http://www.buitenverwachting.com;22, Buitenverwachting Road, Constantia, Cape Town, 7806, South Africa;-33,9288301;18,4172197
Bushmanspad Estate;Robertson;023 616 2961;http://www.bushmanspad.co.za;30, Bushmanspad Road, Robertson, 6705, South Africa;31,0339058;-96,5079742
Calais Wine Estate;Paarl;021 868 3888;http://www.calais.co.za;19, Calais Road, Paarl, 7646, South Africa;-33,7310282;18,9642117
Calitzdorp Wine Cellar;Klein Karoo;044 213 3301;http://www.calitzdorpwine.co.za;27, Calitzdorp, Klein Karoo, South Africa;-33,5807432;22,1976413
Camberley Wines;Stellenbosch;082 748 6338;http://www.camberley.co.za;3, Camberley Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Canetsfontein;Wellington;071 248 1222;http://www.canetsfontein.com;15, Naauwhoek Road, Paarl, 7646, South Africa;-41,2887953;174,7772114
Canto Wines;Durbanville;021 492 2821;http://www.cantowines.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,8402778;18,6494444
Capaia Wines;Cape Town;021 972 1081;http://www.capaia.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,9288301;18,4172197
Cape Dreams;Worcester;083 780 9428;http://www.capedreamswine.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;42,2625621;-71,8018877
Cape Point Vineyards;Cape Town;021 789 0900;http://www.cpv.co.za;16, Cape Point Road, Noordhoek, Cape Town, 7975, South Africa;-33,9288301;18,4172197
Cape Rock Wines;Olifants River;027 213 2567;http://www.caperockwines.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-24,4767789;30,4737671
Cape Town Wine Hub;Helderberg;021 854 3471;http://www.capetownwinehub.com;15, Naauwhoek Road, Paarl, 7646, South Africa;42,6511341;-73,7936672
Capensis;Paarl;084 501 9472;http://www.capensiswines.com;45, Capensis Road, Paarl, 7646, South Africa;-33,7310282;18,9642117
Carinus Vineyards;Stellenbosch;;http://www.carinusvineyards.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,934444;18,869167
Cathedral Cellar;Paarl;021 807 3911;http://kwvcathedralcellar.co.za;18, Cathedral Cellar Road, Paarl, 7646, South Africa;-33,7310282;18,9642117
Cathedral Peak Wine Estate;KwaZulu Natal;066 2323 159?;http://www.cathpeakwines.com;50, Cathedral Peak Road, KwaZulu Natal, 3350, South Africa;-28,503833;30,8875009
Catherine Marshall Wines;Cape Town;+27 78 442 2929;http://www.cmwines.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,9288301;18,4172197
Cavalli Estate;Stellenbosch;021 855 3218;http://www.cavalliestate.com;33, Cavalli Estate Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Cecilia Wines;Olifants River;082 334 9422;http://www.ceciliawines.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-24,4767789;30,4737671
Cederberg Cellar;West Coast;027 482 2827;http://www.cederbergwine.com;15, Naauwhoek Road, Paarl, 7646, South Africa;-42,5638896;171,452334
Chamonix Estate;Franschhoek;021 876 8400;http://www.chamonix.co.za;63, Chamonix Road, Franschhoek, 7690, South Africa;-33,909167;19,119444
Charla Haasbroek Wines;Worcester;;http://;15, Naauwhoek Road, Paarl, 7646, South Africa;42,2625621;-71,8018877
Charles Fox Cap Classique Wine Estate;Elgin;021 849 8941;http://www.charlesfox.co.za;5, Charles Fox Road, Elgin, 7180, South Africa;42,03726;-88,2810994
Cilmor Winery;Worcester;023 304 4141;http://www.cilmorwines.com;15, Naauwhoek Road, Paarl, 7646, South Africa;42,2625621;-71,8018877
Cirrus;Overberg;+27 21 881 3588;http://www.cirruswines.com;15, Naauwhoek Road, Paarl, 7646, South Africa;52,0390484;5,4964645
Claime d'Or Wines;Robertson;082 567 5197;http://www.claimedorwines.co.za;4, Claime d'Or Road, Robertson, 6705, South Africa;31,0339058;-96,5079742
Clairvaux Family Wines;Robertson;023 626 3842;http://www.clairvauxcellar.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;31,0339058;-96,5079742
Cloof Wine Estate;Darling;022 492 2839;http://www.cloof.co.za;1, Cloof Estate Road, Darling, 7345, South Africa;35,2009655;-111,400385
Clos Malverne Estate;Stellenbosch;021 883 3617;http://www.closmalverne.co.za;13, Clos Malverne Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Clouds Wine Estate;Stellenbosch;021 885 1819;http://www.cloudsestate.co.za;23, Clouds Estate Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Cloverfield;Robertson;023 626 4118;http://www.cloverfield.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;31,0339058;-96,5079742
Colmant Cap Classique and Champagne;Franschhoek;021 876 4348;http://www.colmant.co.za;1, Colmant Road, Franschhoek, 7690, South Africa;-33,909167;19,119444
Colombo Wines;West Coast;071 514 8223;http://www.colombowines.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-42,5638896;171,452334
Compagniesdrift;Stellenbosch;021 843 3902;http://www.compagniesdrift.com;18, Compagniesdrift Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Conradie Penhill Artisanal Wines;Worcester;023 342 7025;http://www.conradiepenhill.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;42,2625621;-71,8018877
Constantia Glen;Cape Town;021 795 5639;http://www.constantiaglen.com;16, Constantia Glen Road, Constantia, Cape Town, 7806, South Africa;-33,9288301;18,4172197
Constantia Royale;Cape Town;021 794 4841;http://www.constantiaroyale.co.za;11, Constantia Royale Road, Constantia, Cape Town, 7806, South Africa;-33,9288301;18,4172197
Constantia Uitsig;Cape Town;021 794 6500;http://uitsig.co.za;5, Constantia Uitsig Road, Constantia, Cape Town, 7806, South Africa;-33,9288301;18,4172197
Contreberg;Darling;072 717 1607;http://www.contreberg.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;35,2009655;-111,400385
Cordier Wines;Stellenbosch;0218801221;http://cordier-wines.co.za/;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,934444;18,869167
Cranefields Wine Estate;Worcester;028 840 2565;http://www.cranefields.com;1, Cranefields Wine Estate Road, Worcester, 6850, South Africa;42,2625621;-71,8018877
Creation Wines;Overberg;028 212 1107;http://www.creationwines.com;1, Creation Wines Road, Overberg, 7200, South Africa;52,0390484;5,4964645
Credo;Stellenbosch;021 881 3870;http://www.stellenboschvineyards.co.za/our-wines/stellenbosch-vineyards-collection-of-fine-wines/credo/;;-33,934444;18,869167
Cronier Wines;Wellington;021 872 2643;http://www.cronierwines.com;14, Cronier Road, Wellington, 7654, South Africa;-41,2887953;174,7772114
Croydon Wine Company;Helderberg;021 843 3610;http://www.croydonvineyardestate.com/;10, Croydon Road, Helderberg, 7130, South Africa;42,6511341;-73,7936672
Crystallum Wines;Overberg;082 420 2142;http://www.crystallumwines.com;15, Naauwhoek Road, Paarl, 7646, South Africa;52,0390484;5,4964645
D'Aria Winery;Durbanville;021 801 6772;http://www.dariawinery.co.za;1, D'Aria Road, Durbanville, 7550, South Africa;-33,8402778;18,6494444
Dainty Bess;Cape Town;083 324 6855;http://www.daintybess.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,9288301;18,4172197
Dalla Cia;Stellenbosch;021 888 4120;http://www.dallacia.com;1, Dalla Cia Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Damascene Vineyards;Elgin;082 334 8100;http://www.damascenevineyards.com/;15, Naauwhoek Road, Paarl, 7646, South Africa;42,03726;-88,2810994
Darling Cellars;Darling;022 492 2276;http://www.darlingcellars.co.za;2, Darling Cellars Road, Darling, 7345, South Africa;35,2009655;-111,400385
Daschbosch Wines;Breedekloof;023 349 1110;http://daschbosch.co.za/#top;15, Naauwhoek Road, Paarl, 7646, South Africa;52,0390484;5,4964645
David Frost Wines;Paarl;021 869 8339;http://www.frostwine.com;1, David Frost Wines Road, Paarl, 7620, South Africa;-33,7310282;18,9642117
De Doorns Wine Cellar;Worcester;023 356 2100;http://www.dedoornscellar.co.za;2, De Doorns Wine Cellar Road, Worcester, 6850, South Africa;42,2625621;-71,8018877
De Grendel Wines;Durbanville;021 558 6280;http://www.degrendel.co.za;1, De Grendel Road, Durbanville, 7550, South Africa;-33,8402778;18,6494444
De Kaap Vineyards;Robertson;087 550 3369;http://www.dekaapvineyards.com;1, De Kaap Vineyards Road, Robertson, 6705, South Africa;31,0339058;-96,5079742
De Kaapse Brandewijn Kompanjie;Overberg;083 648 9250;http://www.dkbk1672.com;15, Naauwhoek Road, Paarl, 7646, South Africa;52,0390484;5,4964645
De Kleine Wijn Koöp;Worcester;;http://www.dekleinewijnkoop.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;42,2625621;-71,8018877
De Krans Wines;Klein Karoo;044 213 3314;http://www.dekrans.co.za;1, De Krans Wines Road, Klein Karoo, 6625, South Africa;-33,5807432;22,1976413
De Meye Wines;Stellenbosch;063 025 6110;http://www.demeye.co.za;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,934444;18,869167
De Morgenzon;Stellenbosch;021 881 3030;http://www.demorgenzon.co.za;1, De Morgenzon Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
De Toren Private Cellar;Stellenbosch;021 881 3119;http://www.de-toren.com;1, De Toren Private Cellar Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
De Trafford Wines;Stellenbosch;021 880 1611;http://www.detrafford.co.za;1, De Trafford Wines Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
De Villiers Wines;Paarl;021 863 2175;http://www.devillierswines.com;12, De Villiers Road, Paarl, 7646, South Africa;-33,7310282;18,9642117
De Waal Wines;Stellenbosch;021 881 3711;http://www.dewaal.co.za;12, De Waal Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
De Wet Cellar;Worcester;023 341 2710;http://www.dewetcellar.co.za;5, Ceres Road, Worcester, 6849, South Africa;42,2625621;-71,8018877
De Wetshof Estate;Robertson;023 615 1853;http://www.dewetshof.com;2, De Wetshof Road, Robertson, 6705, South Africa;31,0339058;-96,5079742
Deep Rooted Wines;Overberg;082 222 6129;http://www.deeprooted.wine;15, Naauwhoek Road, Paarl, 7646, South Africa;52,0390484;5,4964645
Deetlefs Estate;Breedekloof;023 349 1260;http://www.deetlefs.com;15, Naauwhoek Road, Paarl, 7646, South Africa;52,0390484;5,4964645
Delaire Graff Estate;Stellenbosch;021 885 8160;http://www.delaire.co.za;20, Deetlefs Road, Breedekloof, South Africa;-33,934444;18,869167
Delheim Wine Estate;Stellenbosch;021 888 4600;http://www.delheim.com;1, Delaire Graff Road, Stellenbosch, 7600, South Africa;-33,934444;18,869167
Delphin Wines;Overberg;087 551 2771;http://www.delphinwines.co.za;15, Delheim Road, Stellenbosch, 7600, South Africa;52,0390484;5,4964645
Delvera Farm;Stellenbosch;021 888 4600;http://;15, Naauwhoek Road, Paarl, 7646, South Africa;-33,934444;18,869167
